"alpha0","beta0","rho","clus","rr","trt_mod","out_mod","unbal","beta4","true.rd","dgm","prev","rate","correlation","design","true.effect","NCluster","ClusterSize"
0.15,-2.35,0,"50 clusters of 20 - unbl",0.8,"random intercept","none",0.2,-0.3147107448397,-0.02,50,"trt prev 50%","out control 10%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-0.63,0,"50 clusters of 20 - unbl",0.8,"random intercept","none",0.2,-0.41,-0.06,51,"trt prev 20%","out control 30%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-0.63,0,"50 clusters of 20 - unbl",0.8,"random intercept","none",0.2,-0.41,-0.06,52,"trt prev 50%","out control 30%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-2.35,0.5,"50 clusters of 20 - unbl",0.8,"random intercept","none",0.2,-0.3147107448397,-0.02,53,"trt prev 20%","out control 10%","corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-2.35,0.5,"50 clusters of 20 - unbl",0.8,"random intercept","none",0.2,-0.3147107448397,-0.02,54,"trt prev 50%","out control 10%","corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-0.63,0.5,"50 clusters of 20 - unbl",0.8,"random intercept","none",0.2,-0.41,-0.06,55,"trt prev 20%","out control 30%","corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-0.63,0.5,"50 clusters of 20 - unbl",0.8,"random intercept","none",0.2,-0.41,-0.06,56,"trt prev 50%","out control 30%","corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-2.35,0,"100 clusters of 10 - unbl",0.8,"random intercept","none",0.2,-0.3147107448397,-0.02,57,"trt prev 20%","out control 10%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-2.35,0,"100 clusters of 10 - unbl",0.8,"random intercept","none",0.2,-0.3147107448397,-0.02,58,"trt prev 50%","out control 10%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-0.63,0,"100 clusters of 10 - unbl",0.8,"random intercept","none",0.2,-0.41,-0.06,59,"trt prev 20%","out control 30%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-0.63,0,"100 clusters of 10 - unbl",0.8,"random intercept","none",0.2,-0.41,-0.06,60,"trt prev 50%","out control 30%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-2.35,0.5,"100 clusters of 10 - unbl",0.8,"random intercept","none",0.2,-0.3147107448397,-0.02,61,"trt prev 20%","out control 10%","corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-2.35,0.5,"100 clusters of 10 - unbl",0.8,"random intercept","none",0.2,-0.3147107448397,-0.02,62,"trt prev 50%","out control 10%","corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-0.63,0.5,"100 clusters of 10 - unbl",0.8,"random intercept","none",0.2,-0.41,-0.06,63,"trt prev 20%","out control 30%","corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-0.63,0.5,"100 clusters of 10 - unbl",0.8,"random intercept","none",0.2,-0.41,-0.06,64,"trt prev 50%","out control 30%","corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-2.35,0,"50 clusters of 20 - unbl",1,"random slope","none",0.2,0,0,65,"trt prev 20%","out control 10%","no corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-2.35,0,"50 clusters of 20 - unbl",1,"random slope","none",0.2,0,0,66,"trt prev 50%","out control 10%","no corr","50 clusters of 20 - unbl","no effect",50,20
